Unnamed: 0,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
3421,1261874,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,11793.0,2015-02-28,2015-02-28,Wells Fargo,Closed with explanation,Yes,
28033,1178066,Credit reporting,,Incorrect information on credit report,Account status,OH,44122.0,2015-01-01,2015-01-01,Experian,Closed with explanation,Yes,
27399,1179927,Credit card,,Credit card protection / Debt protection,,TX,78738.0,2015-01-04,2015-01-08,Capital One,Closed with explanation,Yes,
13914,1223955,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,92626.0,2015-02-04,2015-02-04,"Servis One, Inc.",In progress,Yes,
25274,1186772,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33137.0,2015-01-08,2015-01-08,Equifax,Closed with explanation,Yes,No
25188,1188645,Consumer loan,Installment loan,Problems when you are unable to pay,,IL,60438.0,2015-01-09,2015-01-09,"PLS GROUP, INC",Closed with non-monetary relief,Yes,
19196,1206731,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,34428.0,2015-01-23,2015-01-28,JPMorgan Chase,Closed with explanation,Yes,
25613,1186387,Credit card,,Credit card protection / Debt protection,,NY,10040.0,2015-01-08,2015-01-13,Citibank,Closed with explanation,Yes,Yes
6235,1251142,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,AE,9012.0,2015-02-22,2015-02-22,Nationstar Mortgage,In progress,Yes,
20978,1201326,Credit reporting,,Incorrect information on credit report,Information is not mine,MD,20664.0,2015-01-20,2015-01-21,Equifax,Closed with explanation,Yes,
16481,1216609,Credit reporting,,Incorrect information on credit report,Personal information,VA,20155.0,2015-01-29,2015-01-29,Equifax,Closed with explanation,Yes,
1122,1272905,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77044.0,2015-03-08,2015-03-09,"ResidentCollect, Inc.",Closed with explanation,Yes,
15045,1219774,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,WI,53548.0,2015-02-02,2015-02-02,Equifax,Closed with explanation,Yes,Yes
312,1279573,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,UT,84532.0,2015-03-12,2015-03-12,Experian,Closed with explanation,Yes,
9791,1239816,Credit card,,Identity theft / Fraud / Embezzlement,,TX,77266.0,2015-02-13,2015-02-13,Capital One,Closed with explanation,Yes,
12645,1230063,Consumer loan,Installment loan,Taking out the loan or lease,,GA,30126.0,2015-02-06,2015-03-09,Argon Credit,Closed with explanation,Yes,
12776,1230098,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,93230.0,2015-02-06,2015-02-07,Ocwen,Closed with non-monetary relief,Yes,
5678,1251619,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,CA,90013.0,2015-02-23,2015-02-27,Bank of America,In progress,Yes,
13941,1225685,Consumer loan,Vehicle loan,Shopping for a loan or lease,,,,2015-02-04,2015-02-11,"BlueYield, Inc.",Closed,Yes,
25915,1185614,Credit reporting,,Incorrect information on credit report,Account terms,IL,60046.0,2015-01-07,2015-01-07,Experian,Closed with explanation,Yes,Yes
18239,1209905,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,KS,67025.0,2015-01-26,2015-01-29,USAA Savings,Closed with explanation,Yes,
25852,1184211,Credit card,,Late fee,,OR,97448.0,2015-01-07,2015-01-07,Amex,Closed with monetary relief,Yes,
2208,1268264,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,28546.0,2015-03-04,2015-03-10,Equifax,Closed with explanation,Yes,
96,1284165,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,DC,20008.0,2015-03-16,2015-03-16,"PrimeLending, A PlainsCapital Company",In progress,Yes,
19981,1204400,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,NJ,7024.0,2015-01-22,2015-01-22,Wells Fargo,Closed with monetary relief,Yes,
26171,1183879,Debt collection,Credit card,Taking/threatening an illegal action,Seized/Attempted to seize property,KY,40962.0,2015-01-07,2015-01-07,"Mapother & Mapother, PSC",Closed with explanation,Yes,
6138,1252499,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,33015.0,2015-02-23,2015-02-27,Wells Fargo,In progress,Yes,
25750,1184881,Bank account or service,Other bank product/service,"Account opening, closing, or management",,FL,33301.0,2015-01-07,2015-01-12,"Bayview Loan Servicing, LLC",Closed with explanation,Yes,
15280,1220628,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,IL,60554.0,2015-02-02,2015-02-05,Resurgent Capital Services L.P.,Closed with explanation,Yes,
9870,1237963,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,CA,92562.0,2015-02-12,2015-02-12,West Corporation,Closed with explanation,Yes,Yes
2579,1264461,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt was paid,VA,24541.0,2015-03-03,2015-03-03,Navient,Closed with explanation,Yes,
22189,1196556,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,AL,35219.0,2015-01-16,2015-01-16,BBVA Compass,Closed with monetary relief,Yes,Yes
27259,1181845,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,NM,87114.0,2015-01-05,2015-01-06,Weststar Mortgage Corporation,Closed with explanation,Yes,No
7794,1245718,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,KS,66083.0,2015-02-18,2015-02-18,"PennyMac Loan Services, LLC",Closed with explanation,Yes,Yes
11191,1232809,Mortgage,FHA mortgage,Settlement process and costs,,AL,36660.0,2015-02-10,2015-02-10,JPMorgan Chase,Closed with explanation,Yes,
9683,1240985,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,OK,73099.0,2015-02-13,2015-02-14,Nationstar Mortgage,Closed with explanation,Yes,
27675,1178732,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,95975.0,2015-01-02,2015-01-02,Santander Bank US,Closed,Yes,Yes
26286,1182145,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,PA,19026.0,2015-01-06,2015-01-09,"Asta Funding, Inc",Closed with explanation,Yes,No
13651,1223907,Credit reporting,,Incorrect information on credit report,Information is not mine,IN,46040.0,2015-02-04,2015-02-04,Experian,Closed with non-monetary relief,Yes,
21576,1198544,Bank account or service,Checking account,"Account opening, closing, or management",,FL,34212.0,2015-01-19,2015-01-22,"Early Warning Services, LLC",Closed with explanation,Yes,
19373,1207010,Credit reporting,,Incorrect information on credit report,Account status,CA,93556.0,2015-01-23,2015-02-13,TransUnion,Closed with non-monetary relief,Yes,
19695,1205522,Bank account or service,Checking account,"Account opening, closing, or management",,TX,77065.0,2015-01-22,2015-01-22,JPMorgan Chase,Closed with explanation,Yes,
14832,1221184,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,NY,10709.0,2015-02-02,2015-02-02,Webster Bank,Closed with explanation,Yes,
6029,1252688,Credit reporting,,Incorrect information on credit report,Public record,NJ,7039.0,2015-02-23,2015-02-23,Experian,In progress,Yes,
22899,1192273,Payday loan,,Charged fees or interest I didn't expect,,CA,90008.0,2015-01-14,2015-01-16,"CashCall, Inc.",Closed with explanation,Yes,
24499,1189599,Credit card,,Balance transfer,,ME,4083.0,2015-01-11,2015-01-15,Barclays,Closed with explanation,Yes,Yes
13363,1226569,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,GA,30114.0,2015-02-05,2015-02-05,"Contract Callers, Inc.",Closed,Yes,
24810,1188779,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,PA,19018.0,2015-01-09,2015-01-14,Experian,Closed with explanation,Yes,Yes
8828,1242214,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,HI,96737.0,2015-02-16,2015-02-17,"Diversified Consultants, Inc.",Closed with explanation,Yes,
18280,1209812,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,PA,19103.0,2015-01-26,2015-01-29,Fifth Third Bank,Closed with explanation,Yes,
10153,1237857,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,KS,67216.0,2015-02-12,2015-02-19,"Mid Continent Credit Services, Inc",Closed with explanation,Yes,
4246,1259493,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,MI,48390.0,2015-02-26,2015-03-04,Ocwen,Closed with explanation,Yes,Yes
9132,1241328,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,92020.0,2015-02-15,2015-02-15,PNC Bank,In progress,Yes,
24468,1189496,Credit reporting,,Incorrect information on credit report,Information is not mine,PR,678.0,2015-01-11,2015-01-11,Equifax,Closed with explanation,Yes,No
516,1278125,Mortgage,Conventional fixed mortgage,Settlement process and costs,,VA,22911.0,2015-03-11,2015-03-11,Nationstar Mortgage,Closed with explanation,Yes,
26166,1183887,Credit card,,Customer service / Customer relations,,KY,40206.0,2015-01-07,2015-01-07,U.S. Bancorp,Closed with explanation,Yes,No
24057,1190563,Bank account or service,Checking account,"Making/receiving payments, sending money",,CA,90028.0,2015-01-12,2015-01-15,Capital One,Closed with explanation,Yes,
15215,1220674,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NV,89141.0,2015-02-02,2015-02-02,New York Community Bank,Closed with explanation,Yes,
2111,1266774,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,VA,20169.0,2015-03-04,2015-03-04,Citibank,In progress,Yes,
14118,1223859,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,MD,20735.0,2015-02-04,2015-02-04,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,Yes
20509,1201584,Bank account or service,Checking account,"Account opening, closing, or management",,AZ,85704.0,2015-01-21,2015-01-23,JPMorgan Chase,Closed with explanation,Yes,
15370,1221234,Mortgage,Other mortgage,Settlement process and costs,,MI,48910.0,2015-02-02,2015-02-02,Citibank,In progress,Yes,
7405,1247408,Credit card,,Identity theft / Fraud / Embezzlement,,GA,30250.0,2015-02-19,2015-02-25,SunTrust Bank,Closed with non-monetary relief,Yes,
2982,1264611,Student loan,Non-federal student loan,Can't repay my loan,,AZ,85392.0,2015-03-02,2015-03-03,Genesis Lending,Closed with explanation,Yes,
23590,1191587,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,LA,70420.0,2015-01-13,2015-01-14,Resurgent Capital Services L.P.,Closed with explanation,Yes,
9477,1239468,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,PA,15234.0,2015-02-13,2015-02-13,"Harvard Collections, LLC",Closed,Yes,
18652,1208910,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MD,21113.0,2015-01-25,2015-01-25,Encore Capital Group,Closed with explanation,Yes,
7293,1246416,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11951.0,2015-02-19,2015-02-19,Citibank,In progress,Yes,
10175,1238636,Bank account or service,Checking account,Deposits and withdrawals,,AR,72758.0,2015-02-12,2015-02-13,Wells Fargo,Closed,Yes,
18219,1209960,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,VA,23222.0,2015-01-26,2015-01-29,Bank of America,In progress,Yes,
13764,1225219,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,CA,94404.0,2015-02-04,2015-02-05,"Credit Bureau Collection Services, Inc.",Closed with non-monetary relief,Yes,
8170,1244961,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,79414.0,2015-02-18,2015-02-18,Experian,Closed with explanation,Yes,
10387,1234899,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,NY,11953.0,2015-02-11,2015-02-18,TransUnion,Closed with explanation,Yes,
13344,1226006,Credit reporting,,Incorrect information on credit report,Account status,WI,53719.0,2015-02-05,2015-02-05,TransUnion,Closed with explanation,Yes,Yes
11606,1231307,Bank account or service,Checking account,"Account opening, closing, or management",,TX,78212.0,2015-02-09,2015-02-09,Bank of America,Closed with explanation,Yes,
12311,1230974,Credit card,,Customer service / Customer relations,,IL,60201.0,2015-02-08,2015-02-09,Capital One,In progress,Yes,
13167,1228246,Debt collection,Auto,False statements or representation,Indicated committed crime not paying,WA,98661.0,2015-02-05,2015-02-06,GM Financial,Closed with explanation,Yes,
26907,1180596,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,FL,33952.0,2015-01-05,2015-01-07,BB&T Financial,Closed with explanation,Yes,No
12530,1228498,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,PA,15106.0,2015-02-06,2015-02-12,"Saints Recovery Group, Inc.",Closed with explanation,Yes,
27403,1179932,Credit card,,APR or interest rate,,PA,19119.0,2015-01-04,2015-01-04,Wells Fargo,Closed with explanation,Yes,No
12348,1230273,Credit reporting,,Incorrect information on credit report,Personal information,TX,76051.0,2015-02-07,2015-02-07,TransUnion,Closed with explanation,Yes,
4519,1256648,Consumer loan,Vehicle loan,Problems when you are unable to pay,,TX,77066.0,2015-02-25,2015-03-03,TMX Finance LLC,Closed with explanation,Yes,
4186,1259360,Credit reporting,,Incorrect information on credit report,Personal information,VA,23462.0,2015-02-26,2015-02-26,TransUnion,Closed with explanation,Yes,
26229,1181963,Credit reporting,,Incorrect information on credit report,Public record,CA,92113.0,2015-01-06,2015-01-06,TransUnion,Closed with explanation,Yes,No
26752,1181938,Bank account or service,Checking account,Problems caused by my funds being low,,WA,98118.0,2015-01-05,2015-01-06,Bank of America,Closed with explanation,Yes,
19140,1206619,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,IA,51201.0,2015-01-23,2015-01-23,Equifax,Closed with non-monetary relief,Yes,
19560,1205809,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,DC,20036.0,2015-01-23,2015-01-23,Nationstar Mortgage,Closed with explanation,Yes,
13018,1228521,Credit card,,Closing/Cancelling account,,MS,39759.0,2015-02-06,2015-02-06,Discover,Closed with explanation,Yes,Yes
22341,1197151,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,WI,53072.0,2015-01-16,2015-02-27,"SCP IV Pingora AIV, L.P",Closed with explanation,Yes,
4058,1260015,Debt collection,,Improper contact or sharing of info,Contacted employer after asked not to,IL,60084.0,2015-02-26,2015-02-27,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,Yes
15931,1218532,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,OH,45040.0,2015-01-30,2015-01-30,JPMorgan Chase,Closed with explanation,Yes,
24414,1190118,Bank account or service,Savings account,"Account opening, closing, or management",,CA,95062.0,2015-01-12,2015-01-15,Citibank,Closed with explanation,Yes,Yes
17693,1211250,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,95136.0,2015-01-27,2015-01-28,AllianceOne Recievables Management,Closed with explanation,Yes,
26061,1184512,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,MS,38663.0,2015-01-07,2015-01-07,Alliance Collection Service,Closed with explanation,Yes,Yes
345,1280761,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,TX,75227.0,2015-03-12,2015-03-12,Flagstar Bank,In progress,Yes,
19409,1205970,Credit reporting,,Incorrect information on credit report,Account status,IL,60643.0,2015-01-23,2015-03-09,Equifax,Closed with explanation,Yes,
14371,1222439,Payday loan,,Received a loan I didn't apply for,,CA,92571.0,2015-02-03,2015-02-06,"Enhanced Acquisitions, LLC",Closed with explanation,Yes,
17544,1212015,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,NY,10573.0,2015-01-27,2015-01-30,PNC Bank,In progress,Yes,
23573,1205624,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,AZ,85017.0,2015-01-13,2015-01-13,"Credit Protection Association, L.P.",Closed with explanation,Yes,
7346,1246903,Credit card,,Identity theft / Fraud / Embezzlement,,NY,11219.0,2015-02-19,2015-02-27,JPMorgan Chase,Closed with explanation,Yes,Yes
5048,1253757,Credit card,,APR or interest rate,,PA,15642.0,2015-02-24,2015-02-24,Citibank,Closed with explanation,Yes,
26051,1184495,Credit card,,Customer service / Customer relations,,AR,72011.0,2015-01-07,2015-01-07,U.S. Bancorp,Closed with non-monetary relief,Yes,Yes
23910,1192141,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,LA,70420.0,2015-01-13,2015-01-13,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
462,1277981,Credit reporting,,Incorrect information on credit report,Account status,CA,91508.0,2015-03-11,2015-03-11,Experian,Closed with explanation,Yes,
9731,1240008,Credit reporting,,Incorrect information on credit report,Public record,GA,30315.0,2015-02-13,2015-02-13,Equifax,Closed with non-monetary relief,Yes,
4814,1257353,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,WI,53548.0,2015-02-25,2015-02-25,"Malcolm S. Gerald and Associates, Inc.",Closed with non-monetary relief,Yes,
8213,1245663,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,TX,77014.0,2015-02-18,2015-02-25,Citibank,In progress,Yes,
8846,1241526,Mortgage,Other mortgage,"Application, originator, mortgage broker",,OR,97086.0,2015-02-16,2015-02-23,Ocwen,Closed with explanation,Yes,
18997,1206324,Credit reporting,,Incorrect information on credit report,Account status,TX,76116.0,2015-01-23,2015-02-11,Equifax,Closed with explanation,Yes,
11623,1231291,Credit reporting,,Incorrect information on credit report,Information is not mine,IL,60448.0,2015-02-09,2015-02-20,TransUnion,Closed with explanation,Yes,
22741,1193918,Credit reporting,,Incorrect information on credit report,Information is not mine,AZ,37229.0,2015-01-15,2015-01-20,Equifax,Closed with explanation,Yes,
11832,1231097,Credit reporting,,Incorrect information on credit report,Account status,WA,98520.0,2015-02-09,2015-02-12,Experian,Closed with non-monetary relief,Yes,
22805,1194182,Credit reporting,,Incorrect information on credit report,Information is not mine,UT,84070.0,2015-01-15,2015-01-22,Experian,Closed with non-monetary relief,Yes,
8919,1242097,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,FL,32725.0,2015-02-16,2015-02-23,TransUnion,Closed with explanation,Yes,
4148,1257936,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,33166.0,2015-02-26,2015-02-26,Bank of America,In progress,Yes,
1109,1272871,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,TX,78641.0,2015-03-08,2015-03-09,Miller Davis & Peoples,Closed with explanation,Yes,
9375,1241082,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,NY,10019.0,2015-02-14,2015-02-19,Transworld Systems Inc.,Closed with explanation,Yes,
1412,1272410,Bank account or service,Other bank product/service,"Account opening, closing, or management",,HI,96826.0,2015-03-06,2015-03-07,First Hawaiian Bank,In progress,Yes,
5683,1251617,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,90059.0,2015-02-23,2015-02-27,Citibank,In progress,Yes,
13218,1227146,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,MI,65801.0,2015-02-05,2015-03-03,Experian,Closed with explanation,Yes,
14801,1222748,Student loan,Non-federal student loan,Can't repay my loan,,NY,10469.0,2015-02-03,2015-02-03,Navient,Closed with explanation,Yes,
11150,1233348,Credit reporting,,Incorrect information on credit report,Account status,CA,90731.0,2015-02-10,2015-02-23,TransUnion,Closed with explanation,Yes,
7294,1246403,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,FL,32311.0,2015-02-19,2015-02-19,"Escallate, LLC",Closed,Yes,
733,1275351,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened arrest/jail if do not pay,SC,29501.0,2015-03-10,2015-03-10,"Augusta Collection Agency, Inc.",Closed with explanation,Yes,Yes
11388,1233543,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,TX,75886.0,2015-02-10,2015-03-04,Equifax,Closed with non-monetary relief,Yes,
12382,1229977,Credit card,,Billing disputes,,NJ,7022.0,2015-02-07,2015-02-09,"Pressler & Pressler, LLP",Closed with explanation,Yes,
26398,1182503,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,IL,60091.0,2015-01-06,2015-01-09,Wells Fargo,Closed with explanation,Yes,
10297,1237569,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,GA,30088.0,2015-02-12,2015-02-12,Tenet HealthCare Corporation,In progress,Yes,
13294,1225951,Credit card,,Unsolicited issuance of credit card,,PA,15963.0,2015-02-05,2015-02-05,JPMorgan Chase,Closed with explanation,Yes,
10282,1239176,Credit reporting,,Incorrect information on credit report,Account status,NV,89113.0,2015-02-12,2015-02-23,TransUnion,Closed with non-monetary relief,Yes,
15446,1219642,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,OK,73112.0,2015-02-01,2015-02-05,"AMCOL Systems, Inc.",Closed with explanation,Yes,
10620,1237326,Consumer loan,Vehicle loan,Problems when you are unable to pay,,MA,2562.0,2015-02-11,2015-02-12,JPMorgan Chase,Closed with explanation,Yes,Yes
18794,1208104,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,FL,34668.0,2015-01-24,2015-01-24,"Collection Information Bureau, Inc.",Closed with explanation,Yes,Yes
6977,1249963,Student loan,Non-federal student loan,Dealing with my lender or servicer,,CA,95630.0,2015-02-20,2015-03-13,United Student Aid (USA) Funds,In progress,Yes,
8542,1242322,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,FL,33511.0,2015-02-17,2015-02-23,"I.C. System, Inc.",Closed with explanation,Yes,
13497,1226424,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,KY,42303.0,2015-02-05,2015-02-10,Citibank,Closed with non-monetary relief,Yes,
21302,1200125,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,KS,67037.0,2015-01-20,2015-01-20,GC Services Limited Partnership,Closed with non-monetary relief,Yes,
21320,1200218,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,MD,21227.0,2015-01-20,2015-01-20,Selene Finance,Closed with explanation,Yes,
3023,1264033,Bank account or service,Checking account,Deposits and withdrawals,,NJ,8012.0,2015-03-02,2015-03-02,RBS Citizens,Closed with monetary relief,Yes,
19214,1206035,Credit card,,Identity theft / Fraud / Embezzlement,,FL,33312.0,2015-01-23,2015-01-23,Discover,Closed with non-monetary relief,Yes,
19364,1206642,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,76116.0,2015-01-23,2015-02-11,Experian,In progress,Yes,
21783,1197836,Credit reporting,,Incorrect information on credit report,Account terms,TX,75216.0,2015-01-17,2015-01-22,Experian,Closed with explanation,Yes,Yes
19922,1205875,Credit card,,Identity theft / Fraud / Embezzlement,,MO,64840.0,2015-01-22,2015-01-23,Capital One,Closed with explanation,Yes,
26203,1184030,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,GA,31905.0,2015-01-07,2015-01-07,Springleaf Finance Corporation,Closed with explanation,Yes,
17920,1211255,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,FL,34997.0,2015-01-27,2015-01-27,Carrington Mortgage,Closed with explanation,Yes,
17398,1211834,Money transfers,Domestic (US) money transfer,Fraud or scam,,TX,77063.0,2015-01-27,2015-01-27,Western Union,Closed with explanation,Yes,
15510,1219681,Credit card,,Billing disputes,,SC,29909.0,2015-02-01,2015-02-06,Bank of America,Closed with explanation,Yes,
21059,1201275,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,WA,98387.0,2015-01-20,2015-01-26,Receivables Performance Management LLC,Closed with explanation,Yes,
20275,1203624,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,93536.0,2015-01-21,2015-01-26,"Bayview Loan Servicing, LLC",Closed with explanation,Yes,Yes
21599,1198576,Credit reporting,,Incorrect information on credit report,Public record,CA,95453.0,2015-01-19,2015-01-19,TransUnion,Closed with explanation,Yes,
10834,1235619,Credit card,,Closing/Cancelling account,,OH,44240.0,2015-02-11,2015-02-11,Discover,Closed with explanation,Yes,
12740,1228679,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,CA,94804.0,2015-02-06,2015-02-13,Renton Collections Inc.,Closed with explanation,Yes,
27315,1180103,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,SC,29506.0,2015-01-04,2015-01-05,Ocwen,Closed with explanation,Yes,No
9331,1240887,Credit reporting,,Incorrect information on credit report,Account status,GA,30519.0,2015-02-14,2015-02-21,Equifax,In progress,Yes,
14459,1222671,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,PA,15089.0,2015-02-03,2015-02-24,Equifax,Closed with explanation,Yes,Yes
5729,1253542,Consumer loan,Vehicle loan,Managing the loan or lease,,MD,21234.0,2015-02-23,2015-02-24,Ally Financial Inc.,Closed with explanation,Yes,
17491,1211280,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,CA,91011.0,2015-01-27,2015-01-27,"CashCall, Inc.",Closed with explanation,Yes,
15644,1219440,Consumer loan,Installment loan,Managing the loan or lease,,CA,95616.0,2015-01-31,2015-02-03,Wells Fargo,Closed with monetary relief,Yes,
19228,1206508,Credit reporting,,Incorrect information on credit report,Account status,TX,76116.0,2015-01-23,2015-02-11,TransUnion,Closed with explanation,Yes,
3580,1260508,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,32725.0,2015-02-27,2015-02-27,Citibank,Closed with explanation,Yes,
6522,1249399,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,33169.0,2015-02-20,2015-02-20,Citibank,In progress,Yes,
11983,1231605,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,PA,19151.0,2015-02-09,2015-02-12,Bank of America,Closed with explanation,Yes,Yes
18315,1209971,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,CA,92234.0,2015-01-26,2015-01-26,Experian,Closed with explanation,Yes,
4859,1257865,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,86403.0,2015-02-25,2015-03-03,"RevSolve, Inc.",Untimely response,No,
17474,1211686,Credit card,,Unsolicited issuance of credit card,,NC,28147.0,2015-01-27,2015-01-27,JPMorgan Chase,Closed with explanation,Yes,
20679,1202729,Credit reporting,,Incorrect information on credit report,Account terms,IN,47905.0,2015-01-21,2015-01-28,Experian,Closed with explanation,Yes,
18838,1207728,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,NC,28215.0,2015-01-24,2015-01-29,Experian,Closed with explanation,Yes,
13061,1227069,Debt collection,Non-federal student loan,False statements or representation,Attempted to collect wrong amount,MI,48203.0,2015-02-05,2015-02-09,Navient,Closed with explanation,Yes,
18008,1211159,Prepaid card,General purpose card,"Managing, opening, or closing account",,NJ,7079.0,2015-01-27,2015-02-02,Synovus Bank,Closed with non-monetary relief,Yes,
13062,1226724,Credit reporting,,Incorrect information on credit report,Account status,GA,30214.0,2015-02-05,2015-02-19,Equifax,Closed with explanation,Yes,
12295,1230546,Credit reporting,,Incorrect information on credit report,Account terms,NY,10454.0,2015-02-08,2015-02-13,Equifax,Closed with non-monetary relief,Yes,
18377,1209939,Credit card,,Other fee,,CO,80031.0,2015-01-26,2015-01-26,JPMorgan Chase,Closed with explanation,Yes,
14363,1222042,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,TN,38343.0,2015-02-03,2015-02-06,"Diversified Consultants, Inc.",Closed with explanation,Yes,
